tipo,indicador,nome,ano_referencia,valor,unidade,data,fonte,codigo,variacao_1s,variacao_4s
macro,selic_meta,Selic Meta,,13.75,% a.a.,2026-09-19,Banco Central do Brasil,SGS 432,,
macro,ipca_12m,IPCA 12 meses,,4.22,%,2026-08-01,IBGE via Banco Central do Brasil,SGS 13522,,
macro,cdi,CDI anualizado base 252,,13.65,% a.a.,2026-09-17,Banco Central do Brasil,SGS 4389,,
macro,dolar_ptax,Dólar PTAX venda,,5.1575,R$/US$,2026-09-18,Banco Central do Brasil,SGS 1,,
macro,igpm,IGP-M,,-0.22,% no mês,2026-08-01,FGV via Banco Central do Brasil,SGS 189,,
macro,euro_ptax,Euro PTAX venda,,5.9126,R$/EUR,2026-09-18,Banco Central do Brasil,SGS 21619,,
macro,reservas_internacionais,Reservas internacionais,,368322.0,US$ milhões,2026-09-17,Banco Central do Brasil,SGS 13621,,
macro,balanca_comercial,Balança comercial,,881.0,US$ milhões,2026-07-01,Banco Central do Brasil,SGS 22704,,
macro,resultado_primario,Resultado primário - setor público consolidado,,-1361.2,R$ milhões,2026-07-01,Banco Central do Brasil,SGS 4649,,
macro,divida_pib,Dívida Bruta do Governo Geral / PIB,,82.56,% do PIB,2026-07-01,Banco Central do Brasil,SGS 13762,,
focus,ipca,IPCA,2026,4.9,%,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,-0.1,-0.1227
focus,selic,Selic,2026,13.75,% a.a.,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0,0.0
focus,pib,PIB,2026,1.893,%,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,-0.0371,-0.0891
focus,cambio,Câmbio,2026,5.2,R$/US$,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0,0.0
focus,ipca,IPCA,2027,4.3,%,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.012,0.0598
focus,selic,Selic,2027,12.0,% a.a.,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0,0.0
focus,pib,PIB,2027,1.453,%,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,-0.047,-0.0515
focus,cambio,Câmbio,2027,5.275,R$/US$,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,-0.025,-0.0117
focus,ipca,IPCA,2028,3.8,%,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0,0.0
focus,selic,Selic,2028,10.5,% a.a.,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0,0.0
focus,pib,PIB,2028,1.87,%,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,-0.09,-0.015
focus,cambio,Câmbio,2028,5.3,R$/US$,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0,0.0
focus,ipca,IPCA,2029,3.5003,%,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0003,0.0003
focus,selic,Selic,2029,10.0,% a.a.,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0,0.0
focus,pib,PIB,2029,2.0,%,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0,0.0
focus,cambio,Câmbio,2029,5.363,R$/US$,2026-09-11,Banco Central - Focus,ExpectativasMercadoAnuais,0.0122,0.003
