CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1,Ativo Total,2395432208000.0,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1,Ativo Total,2398719197000.0,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.01,Caixa e Equivalentes de Caixa,81150329000.0,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.01,Caixa e Equivalentes de Caixa,83167243000.0,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02,Ativos Financeiros,2137302035000.0,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02,Ativos Financeiros,2129190687000.0,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.03,Tributos,78664459000.0,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.03,Tributos,86619721000.0,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.04,Outros Ativos,33573691000.0,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.04,Outros Ativos,50170864000.0,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.05,Investimentos,42215136000.0,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.05,Investimentos,21823293000.0,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.06,Imobilizado,11227898000.0,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.06,Imobilizado,16396970000.0,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.07,Intangível,11298660000.0,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.07,Intangível,11350419000.0,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1,Ativo Total,2414775306000.0,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1,Ativo Total,2455143253000.0,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.01,Caixa e Equivalentes de Caixa,58474875000.0,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.01,Caixa e Equivalentes de Caixa,59635525000.0,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.02,Ativos Financeiros,2151398200000.0,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.02,Ativos Financeiros,2201148106000.0,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.03,Tributos,97419480000.0,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.03,Tributos,101756821000.0,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.04,Outros Ativos,37388944000.0,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.04,Outros Ativos,40144322000.0,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.05,Investimentos,41173368000.0,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.05,Investimentos,21916589000.0,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.06,Imobilizado,16967411000.0,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.06,Imobilizado,18488742000.0,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.07,Intangível,11953028000.0,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-12-31,1.07,Intangível,12053148000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1,Ativo Total,61002362000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1,Ativo Total,62504412000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.01,Caixa e Equivalentes de Caixa,7438766000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.01,Caixa e Equivalentes de Caixa,2029253000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02,Ativos Financeiros,47288060000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.02,Ativos Financeiros,55014092000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.03,Tributos,0.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.03,Tributos,1259264000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.04,Outros Ativos,4221669000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.04,Outros Ativos,3172241000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.05,Investimentos,1451291000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.05,Investimentos,243380000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.06,Imobilizado,342577000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.06,Imobilizado,523943000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2024-12-31,1.07,Intangível,259999000.0,S,ind
