CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2,Passivo Total,2395432208.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2,Passivo Total,2398719197.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.01,Passivos Financeiros Avaliados ao Valor Justo através do Resultado,8266768.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.01,Passivos Financeiros Avaliados ao Valor Justo através do Resultado,8266681.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.02,Passivos Financeiros ao Custo Amortizado,2123878343.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.02,Passivos Financeiros ao Custo Amortizado,2102659213.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.03,Provisões,30445153.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.03,Provisões,26099013.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.04,Passivos Fiscais,18561443.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.04,Passivos Fiscais,22451418.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.05,Outros Passivos,33401984.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.05,Outros Passivos,55006528.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.07,Patrimônio Líquido,180878517.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2024-12-31,2.07,Patrimônio Líquido Consolidado,184236344.0000000000,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-12-31,2,Passivo Total,2414775306.0000000000,S,ind
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-12-31,2,Passivo Total,2455143253.0000000000,S,con
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2025-12-31,2.01,Passivos Financeiros Avaliados ao Valor Justo através do Resultado,4476749.0000000000,S,ind
