CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.01,Caixa Líquido das Atividades Operacionais,48378804.0000000000,S,con
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.01,Caixa Líquido das Atividades Operacionais,42576534.0000000000,S,ind
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.02,Caixa Líquido Atividades de Investimento,-55087658.0000000000,S,con
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.02,Caixa Líquido Atividades de Investimento,-50714600.0000000000,S,ind
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.03,Caixa Líquido Atividades de Financiamento,-44845.0000000000,S,con
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.03,Caixa Líquido Atividades de Financiamento,1640297.0000000000,S,ind
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.04,Variação Cambial s/ Caixa e Equivalentes,-4902711.0000000000,S,con
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.04,Variação Cambial s/ Caixa e Equivalentes,-4470492.0000000000,S,ind
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.05,Aumento (Redução) de Caixa e Equivalentes,-11656410.0000000000,S,con
00.000.000/0001-91,2025-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-03-31,6.05,Aumento (Redução) de Caixa e Equivalentes,-10968261.0000000000,S,ind
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.01,Caixa Líquido das Atividades Operacionais,68668454.0000000000,S,ind
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.01,Caixa Líquido das Atividades Operacionais,72354447.0000000000,S,con
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.02,Caixa Líquido Atividades de Investimento,-80126204.0000000000,S,ind
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.02,Caixa Líquido Atividades de Investimento,-81637289.0000000000,S,con
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.03,Caixa Líquido Atividades de Financiamento,371077.0000000000,S,ind
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.03,Caixa Líquido Atividades de Financiamento,-1289277.0000000000,S,con
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.04,Variação Cambial s/ Caixa e Equivalentes,-6854106.0000000000,S,ind
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.04,Variação Cambial s/ Caixa e Equivalentes,-7659861.0000000000,S,con
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.05,Aumento (Redução) de Caixa e Equivalentes,-17940779.0000000000,S,ind
00.000.000/0001-91,2025-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,6.05,Aumento (Redução) de Caixa e Equivalentes,-18231980.0000000000,S,con
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2025-01-01,2025-09-30,6.01,Caixa Líquido das Atividades Operacionais,101029733.0000000000,S,ind
