CNPJ,TICKER
85041333000111,0000
00545378000170,00000
30306294000145,000000
61189288000189,022055
08159965000133,023175
08424178000171,11215
04912242000102,1212
42331462000131,1545-8
08902291000115,25585
33042730000104,4030
09116278000101,468-5
93828986000173,713854
92660570000126,8192
42771949000135,AALR3
28195667000106,ABCB4
07526557000100,ABEV3
52270350000171,ADMF3
12528708000107,AERI3
37663076000107,AESB3
00194724000113,AESO3
10338320000100,AFLT3
07628528000159,AGRO3
21240146000184,AGXY3
62002886000160,AHEB3
62002886000160,AHEB5
62002886000160,AHEB6
20247322000147,ALLD3
05878397000132,ALOS3
61079117000105,ALPA3
61079117000105,ALPA4
60537263000166,ALPK3
08364948000138,ALUP11
12648266000124,AMBP3
00776574000156,AMER3
35654688000108,AMOB3
09288252000132,ANIM3
11721921000160,APER3
61156931000178,APTI3
61156931000178,APTI4
00242184000104,ARML3
14127813000151,ARND3
06057223000171,ASAI3
23994857000170,ATED3
04032433000180,ATMP3
53153938000108,AUAU3
28594234000123,AURE3
16811931000100,AVLL3
00001180000126,AXIA3
00001180000126,AXIA7
61351532000168,AZEV11
61351532000168,AZEV3
61351532000168,AZEV4
52017473000103,AZTE3
09305994000129,AZUL3
09305994000129,AZUL4
16590234000176,AZZA3
52270350000171,B1003
09346601000125,B3SA3
45987245000192,BAHI3
61374161000130,BALM3
61374161000130,BALM4
95426862000197,BAUH3
95426862000197,BAUH4
04902979000144,BAZA3
00000000000191,BBAS3
60746948000112,BBDC3
60746948000112,BBDC4
01107327000120,BBML3
17344597000194,BBSE3
60851615000153,BDLL3
60851615000153,BDLL4
67620377000114,BEEF11
67620377000114,BEEF3
28127603000178,BEES3
28127603000178,BEES4
02762124000130,BETP3
13009717000146,BGIP3
13009717000146,BGIP4
33041260065290,BHIA12
33041260065290,BHIA3
45987245000192,BIED3
04752991000110,BIOM3
58430828000160,BLAU3
17184037000110,BMEB3
17184037000110,BMEB4
61186680000174,BMGB11
61186680000174,BMGB4
34169557000172,BMIN3
34169557000172,BMIN4
56992423000190,BMKS3
09042817000105,BMOB3
07237373000120,BNBR3
02117801000167,BNPA3B
50564053000103,BOBR3
50564053000103,BOBR4
59285411000113,BPAN4
04913711000108,BPAR3
11395624000171,BPHA3
03847461000192,BRAP3
03847461000192,BRAP4
12091809000155,BRAV3
10739356000103,BRBI11
01838723000127,BRFS3
17193806000146,BRGE11
17193806000146,BRGE12
17193806000146,BRGE3
17193806000146,BRGE5
17193806000146,BRGE6
17193806000146,BRGE7
17193806000146,BRGE8
19796586000170,BRIT3
60770336000165,BRIV3
60770336000165,BRIV4
42150391000170,BRKM3
42150391000170,BRKM5
42150391000170,BRKM6
06977745000191,BRML3
36542025000164,BRQB
92702067000196,BRSR3
92702067000196,BRSR5
92702067000196,BRSR6
04601397000128,BRST3
00000208000100,BSLI3
00000208000100,BSLI4
04030182000102,CABI3
61022042000118,CALI11
61022042000118,CALI3
61088894000108,CAMB3
64904295000103,CAML3
14110585000107,CASH3
82508433000117,CASN3
82508433000117,CASN4
19526748000150,CATA3
61409892000173,CBAV3
33050071000158,CBEE3
02846056000197,CCRO3
52805925000103,CCTY3
07950674000104,CCXC3
45242914000105,CEAB3
00070698000111,CEBR3
00070698000111,CEBR5
00070698000111,CEBR6
17245234000100,CEDO3
17245234000100,CEDO4
15139629000194,CEEB3
15139629000194,CEEB5
15139629000194,CEEB6
08467115000100,CEED3
08467115000100,CEED4
33938119000169,CEGR3
04895728000180,CELP3
04895728000180,CELP5
04895728000180,CELP6
04895728000180,CELP7
61856571000117,CGAS3
61856571000117,CGAS5
92012467000170,CGRA3
92012467000170,CGRA4
03802115000198,CLSA3
83878892000155,CLSC3
83878892000155,CLSC4
00272185000193,CMFA3
00272185000193,CMFA4
17155730000164,CMIG3
17155730000164,CMIG4
07047251000170,COCE3
07047251000170,COCE5
07047251000170,COCE6
02800026000140,COGN3
02429144000193,CPFE3
76483817000120,CPLE3
76483817000120,CPLE5
76483817000120,CPLE6
02591787000139,CPTP3B
07820907000146,CRDE3
75315333000109,CRFB3
17167412000113,CRIV3
17167412000113,CRIV4
15115504000124,CRPG3
15115504000124,CRPG5
15115504000124,CRPG6
00938574000105,CRTE3
15144017000190,CSAB3
15144017000190,CSAB4
50746577000115,CSAN3
62984091000102,CSED3
17281106000103,CSMG3
01896779000138,CSUD3
06981381000113,CTCA3
82640558000104,CTKA3
82640558000104,CTKA4
22677520000176,CTNM3
22677520000176,CTNM4
21255567000189,CTSA3
21255567000189,CTSA4
08797760000183,CURY3
10760260000119,CVCB3
22543331000100,CXSE3
73178600000118,CYRE3
73178600000118,CYRE4
61486650000183,DASA3
08170849000115,DESK3
02193750000152,DEXP3
02193750000152,DEXP4
16614075000100,DIRR3
91669747000192,DMFN3
12108897000150,DMVF3
84683408000103,DOHL3
84683408000103,DOHL4
18174270000184,DOTZ3
03303999000136,DTCY
03303999000136,DTCY3
97837181000147,DXCO3
82643537000134,EALT3
82643537000134,EALT4
26345998000150,ECOM3
04149454000180,ECOR3
02474103000119,EGIE3
02328280000197,EKTR3
02328280000197,EKTR4
00001180000126,ELET3
00001180000126,ELET5
00001180000126,ELET6
09347516000181,ELMD3
02302101000142,EMAE3
02302101000142,EMAE4
07689002000189,EMBJ3
07689002000189,EMBR3
11669021000110,ENAT3
04423567000121,ENEV3
00864214000106,ENGI11
00864214000106,ENGI3
00864214000106,ENGI4
16922038000151,ENJU3
03467321000199,ENMT3
03467321000199,ENMT4
06272793000184,EQMA3B
06272793000184,EQMA5B
06272793000184,EQMA6B
03220438000173,EQTL3
26659061000159,ESPA3
61082004000150,ESTR4
61092037000181,ETER3
56643018000166,EUCA3
56643018000166,EUCA4
61190096000192,EUFA
43470988000165,EVEN3
08312229000173,EZTC3
15141799000103,FESA3
15141799000103,FESA4
22266175000188,FHER3
00359742000108,FICT3
07820907000146,FIEI3
01548981000179,FIGE3
01548981000179,FIGE4
02255187000108,FIQE3
60840055000131,FLRY3
88610126000129,FRAS3
04821041000108,FRIO3
24962466000136,FRRN3B
24962466000136,FRRN5B
86550951000150,FRTA3
02998301000181,GEPA3
02998301000181,GEPA4
01545826000107,GFSA3
33611500000119,GGBR3
33611500000119,GGBR4
09229201000130,GGPS3
24990777000109,GMAT3
92690783000109,GOAU3
92690783000109,GOAU4
06164253000187,GOLL4
06164253000187,GOLL54
06164253000187,GOLL80
08560444000193,GPAR3
18483666000103,GRAO3
89850341000160,GRND3
08764621000153,GSHP3
08402943000152,GUAR3
05197443000138,HAPV3
49263189000102,HBOR3
14785152000151,HBRE3
12648327000153,HBSA3
87762563000103,HBTS5
92749225000163,HETA3
92749225000163,HETA4
40159947000164,HMOB3
33200049000147,HOOT4
02932074000191,HYPE3
38456921000136,IFCM11
38456921000136,IFCM3
51218147000193,IGTA3
60543816000193,IGTI11
60543816000193,IGTI3
60543816000193,IGTI4
42737954000121,INBR32
76627504000106,INEP3
09611768000176,INNC3
82901000000127,INTB3
33376989000191,IRBR3
02998611000104,ISAE3
02998611000104,ISAE4
61532644000115,ITSA3
61532644000115,ITSA4
60872504000123,ITUB3
60872504000123,ITUB4
03758318000124,IVPR3
03758318000124,IVPR4
02635522000195,JALL3
02916265000160,JBSS3
33035536000100,JFEN3
08294224000165,JHSF3
87456562000122,JOPA3
87456562000122,JOPA4
52548435000179,JSLG3
91983056000169,KEPL11
91983056000169,KEPL3
09146451000106,KLAS3
89637490000145,KLBN11
13270520000166,KRSA3
40337136000106,LAND3
26462693000128,LAVV3
10215988000160,LCAM3
60476884000187,LEVE3
03378521000175,LIGT3
01104937000170,LIPR3
96418264021802,LJQQ3
02357251000153,LMED
09041168000110,LOGG3
42278291000124,LOGN3
08078847000109,LPSB3
92754738000162,LREN3
00743065000127,LTEL3B
05495546000184,LTLA
89463822000112,LUPA3
02351877000152,LWSA3
16676520000159,MATD3
31553627000101,MBLY12
31553627000101,MBLY3
07206816000115,MDIA3
12049631000184,MDNE3
17314329000120,MEAL3
12181987000177,MELK3
17162082000173,MEND3
17162082000173,MEND5
17162082000173,MEND6
33040601000187,MERC3
33040601000187,MERC4
61065298000102,MGEL3
61065298000102,MGEL4
47960950000121,MGLU3
27093558000115,MILS3
59717553000102,MLAS3
17161241000115,MMAQ3
17161241000115,MMAQ4
02762115000149,MMXM3
88610191000154,MNDL3
90076886000140,MNPR3
02664042000152,MNZC3
33102476000192,MOAR3
02846056000197,MOTV3
21314559000166,MOVI11
21314559000166,MOVI3
01417222000177,MRSA3
01417222000177,MRSA5
01417222000177,MRSA6
08343492000120,MRVE3
60730348000166,MSPA3
60730348000166,MSPA4
08795211000170,MSRO3
07882930000165,MTRE3
86375425000109,MTSA3
86375425000109,MTSA4
07816890000153,MULT3
21526148000134,MUUU4
84683671000194,MWET3
84683671000194,MWET4
61156113000175,MYPK3
71673990000177,NATU3
60651809000105,NEMO3
60651809000105,NEMO5
60651809000105,NEMO6
01083200000118,NEOE3
08613550000198,NEXP3
10139870000108,NGRD3
14127813000151,NINJ3
29950060000157,NRTQ3
32785497000197,NTCO3
51128999000190,NUTR3
00249786000185,NÃO HÁ
59693110000129,OBTC
97191902000194,ODER3
97191902000194,ODER4
58119199000151,ODPV3
20258278000170,OFSA3
76535764000143,OIBR3
76535764000143,OIBR4
12104241000402,ONCO3
09114805000130,OPCT3
02796775000140,OPGM3
02062747000108,OPSE3
01957772000189,OPTS3
11421994000136,ORVR3
09112685000132,OSXB3
21389501000181,PASS3
21389501000181,PASS5
21389501000181,PASS6
92693019000189,PATI3
92693019000189,PATI4
47508411000156,PCAR3
02950811000189,PDGR3
02365069000144,PDTC3
01938783000111,PEAB3
01938783000111,PEAB4
33000167000101,PETR3
33000167000101,PETR4
18328118000109,PETZ3
45453214000151,PFRM3
06626253000151,PGMN3
62144175000120,PINE3
62144175000120,PINE4
17745307000114,PLMVA
