data,estrangeiro,institucional,pessoa_fisica,inst_financeira,outros
06/07/2026,-500.32,-391.87,464.66,325.30,102.22
03/07/2026,698.14,-679.63,-213.17,204.76,-10.11
02/07/2026,567.60,-119.22,76.91,-602.61,77.32
01/07/2026,-589.82,199.04,186.67,119.97,84.14
30/06/2026,302.09,-850.97,319.29,164.01,65.58
29/06/2026,666.52,-766.99,8.00,53.26,39.20
26/06/2026,34.74,408.31,-99.32,-339.66,-4.08
25/06/2026,-410.78,237.21,-69.96,221.09,22.45
24/06/2026,-855.52,339.69,262.37,143.08,110.37
23/06/2026,-1063.33,786.35,138.12,23.94,114.94
22/06/2026,-2086.22,1520.58,19.24,457.54,88.86
19/06/2026,-1.72,-2732.83,556.47,2000.92,177.15
18/06/2026,80.77,-372.11,76.98,-37.06,251.42
17/06/2026,72.76,-171.99,254.03,-319.56,164.76
16/06/2026,-1204.05,1220.73,362.56,-679.33,300.08
15/06/2026,998.28,-673.96,-508.27,44.74,139.21
12/06/2026,-2.28,-636.77,256.92,365.61,16.52
11/06/2026,-751.08,466.25,-104.28,486.30,-97.19
10/06/2026,-149.05,544.80,298.09,-298.68,-395.17
09/06/2026,-1581.74,1476.92,79.22,134.18,-108.58
08/06/2026,18.90,-208.49,128.12,189.27,-127.81
05/06/2026,-448.80,-773.43,313.33,732.87,176.02
03/06/2026,-474.93,166.41,641.69,-313.04,-20.13
02/06/2026,-45.15,397.00,11.09,-89.71,-273.23
01/06/2026,-884.99,1412.00,211.71,-571.61,-167.11
29/05/2026,-615.45,895.75,389.35,-690.31,20.67
28/05/2026,-190.78,265.60,129.33,-112.75,-91.40
27/05/2026,-296.04,486.98,13.22,-245.79,41.63
26/05/2026,-364.49,36.65,356.02,188.44,-216.63
25/05/2026,-342.02,317.00,-90.65,13.91,101.76
22/05/2026,-388.20,125.72,457.69,-61.26,-133.95
21/05/2026,-999.96,1355.22,205.64,-184.73,-376.17
20/05/2026,-277.31,574.85,-38.97,44.34,-302.91
19/05/2026,-903.34,514.22,514.03,47.45,-172.36
18/05/2026,-891.86,570.10,283.78,522.08,-484.10
15/05/2026,-2472.66,5188.48,844.46,-3103.15,-457.13
14/05/2026,-717.54,984.04,59.91,-26.73,-299.67
13/05/2026,-1196.97,-75.41,446.51,887.75,-61.88
12/05/2026,-934.38,1007.08,329.26,76.15,-478.10
11/05/2026,-1126.67,242.48,395.89,187.37,300.93
08/05/2026,118.78,-493.04,268.03,230.93,-124.71
07/05/2026,-1157.79,154.77,741.96,141.96,119.10
06/05/2026,-285.43,-37.28,52.78,250.62,19.30
05/05/2026,-472.12,560.43,239.33,-198.54,-129.10
04/05/2026,-1395.76,655.45,223.05,503.39,13.87
30/04/2026,-1750.62,1015.86,297.21,396.29,41.26
29/04/2026,-1939.67,834.63,587.21,153.35,364.48
28/04/2026,-1295.63,680.26,257.18,355.39,2.81
27/04/2026,-423.91,63.24,331.26,205.89,-176.49
24/04/2026,-1546.18,576.14,280.79,459.05,230.22
23/04/2026,-917.97,-155.73,534.09,534.26,5.34
22/04/2026,-459.99,-464.47,877.71,-21.51,68.26
20/04/2026,32.13,-384.55,221.93,143.34,-12.85
17/04/2026,-2421.61,2486.65,-1077.02,749.60,262.38
16/04/2026,-771.22,-188.94,253.56,723.43,-16.84
15/04/2026,-1031.98,111.81,372.89,487.69,59.59
14/04/2026,1262.67,-1704.89,-6.68,238.43,210.47
13/04/2026,417.67,-507.42,-51.78,93.66,47.87
10/04/2026,2473.43,-1686.12,-551.71,-184.62,-50.97
09/04/2026,8398.42,-7442.19,-958.16,74.08,-72.15
08/04/2026,2614.10,-1222.88,-1270.18,-7.07,-113.98
07/04/2026,-1072.85,257.21,331.91,249.84,233.89
06/04/2026,-176.87,-88.28,123.84,86.01,55.30
02/04/2026,376.94,-270.27,-114.99,-50.48,58.80
01/04/2026,1411.86,-1354.65,-406.07,301.00,47.86
31/03/2026,2180.20,-1013.17,-854.33,-305.64,-7.06
30/03/2026,603.41,-724.56,40.38,27.22,53.55
27/03/2026,975.26,-1112.65,292.35,-196.16,41.20
26/03/2026,-187.84,-652.09,332.28,382.14,125.51
25/03/2026,1034.86,-830.53,-451.57,126.66,120.58
24/03/2026,1231.33,-1364.28,54.59,35.58,42.78
23/03/2026,464.02,266.72,-891.46,29.19,131.52
20/03/2026,-1510.69,3585.16,-64.27,-2255.31,245.11
19/03/2026,1665.45,-2088.65,-12.83,-4.49,440.52
18/03/2026,622.66,-850.09,161.28,-117.57,183.72
17/03/2026,565.19,-687.55,65.75,-40.86,97.47
16/03/2026,551.40,196.21,-308.42,-480.14,40.94
